0.011846,-0.35275,0.183754,3.016,0.517,1.326
0.011846,-0.352466,0.183581,-3.1,0.529,1.65
0.011727,-0.352061,0.183335,-2.948,0.498,1.953
0.011291,-0.366366,0.220341,-3.075,0.562,1.686
0.010489,-0.367095,0.220826,2.981,0.547,1.262
0.009819,-0.366477,0.22043,-2.951,0.538,1.909
0.018181,-0.351571,0.218634,3.14,0.407,1.611
0.016235,-0.36845,0.226908,2.974,0.445,1.225
0.00813,-0.368058,0.226699,-2.956,0.44,1.938
-0.001107,-0.357574,0.24147,-3.11,0.37,1.641
-0.00196,-0.359034,0.24209,3.035,0.36,1.261
-0.000905,-0.358332,0.241801,-3.055,0.365,1.79
-0.009014,-0.372786,0.226657,-3.107,0.314,1.574
-0.010061,-0.373995,0.227093,3.059,0.308,1.196
-0.00935,-0.373193,0.226814,-3.029,0.299,1.819
0.00335,-0.378332,0.232368,-3.057,0.275,1.643
0.00267,-0.380521,0.233077,3.143,0.294,1.355
0.003646,-0.379644,0.232736,-2.987,0.251,1.905
